file,subset,split,year,dating-certainty
theatre_1660_bpt6k10900561_f1.jpg,theatre,test,1660,True
theatre_1673_bpt6k1280573g_f1.jpg,theatre,test,1673,True
theatre_1699_bpt6k97930799_f38.jpg,theatre,test,1699,True
theatre_1668_bpt6k1280477s_f15.jpg,theatre,test,1668,True
theatre_1665_bpt6k1090096j_f30.jpg,theatre,test,1665,True
theatre_1676_bpt6k3171002_f18.jpg,theatre,test,1676,True
theatre_1697_bpt6k1522463f_f62.jpg,theatre,test,1697,True
theatre_1663_bpt6k1280401n_f24.jpg,theatre,test,1663,True
theatre_1671_btv1b8610792g_f112.jpg,theatre,test,1671,True
theatre_1694_bpt6k10900405_f67.jpg,theatre,test,1694,True
theatre_1645_bpt6k58158364_f75.jpg,theatre,test,1645,True
theatre_1666_bpt6k15262311_f5.jpg,theatre,test,1666,True
theatre_1606_bpt6k10404279_f89.jpg,theatre,test,1606,True
theatre_1641_bpt6k1510050j_f3.jpg,theatre,test,1641,True
theatre_1689_bpt6k1280410m_f53.jpg,theatre,test,1689,True
theatre_1680_bpt6k8416272_f1.jpg,theatre,test,1680,True
theatre_1694_bpt6k3045974n_f42.jpg,theatre,test,1694,True
theatre_1662_bpt6k1090067t_f55.jpg,theatre,test,1662,True
theatre_1680_bpt6k1521653f_f1.jpg,theatre,test,1680,True
theatre_1627_btv1b8606999n_f84.jpg,theatre,test,1627,True
theatre_1635_bpt6k1090017x_f36.jpg,theatre,test,1635,True
theatre_1673_bpt6k1280463r_f9.jpg,theatre,test,1673,True
theatre_1666_bpt6k857217c_f56.jpg,theatre,test,1666,True
theatre_1688_bpt6k1262098n_f59.jpg,theatre,test,1688,True
theatre_1661_bpt6k15192961_f50.jpg,theatre,test,1661,True
theatre_1674_bpt6k1280453c_f23.jpg,theatre,test,1674,True
theatre_1635_btv1b8622127q_f108.jpg,theatre,test,1635,True
theatre_1674_bpt6k12804660_f3.jpg,theatre,test,1674,True
theatre_1636_bpt6k57496902_f12.jpg,theatre,test,1636,True
theatre_1682_bpt6k1090188b_f34.jpg,theatre,test,1682,True
theatre_1697_bpt6k5626255h_f8.jpg,theatre,test,1697,True
theatre_1699_bpt6k1512077t_f45.jpg,theatre,test,1699,True
theatre_1631_bpt6k10902915_f179.jpg,theatre,test,1631,True
theatre_1642_bpt6k63622516_f69.jpg,theatre,test,1642,True
theatre_1675_bpt6k5502318j_f8.jpg,theatre,test,1675,True
theatre_1662_bpt6k12804007_f9.jpg,theatre,test,1662,True
theatre_1637_bpt6k9629181d_f83.jpg,theatre,test,1637,True
theatre_1632_bpt6k12801807_f71.jpg,theatre,test,1632,True
theatre_1620_bpt6k857058h_f42.jpg,theatre,test,1620,True
theatre_1687_btv1b8614585w_f31.jpg,theatre,test,1687,True
theatre_1663_bpt6k1090098c_f24.jpg,theatre,test,1663,True
theatre_1685_bpt6k856883v_f29.jpg,theatre,test,1685,True
theatre_1611_bpt6k3130872_f17.jpg,theatre,test,1611,True
theatre_1685_bpt6k1280318k_f30.jpg,theatre,test,1685,True
theatre_1664_bpt6k1090118p_f51.jpg,theatre,test,1664,True
theatre_1621_bpt6k856888r_f125.jpg,theatre,test,1621,True
theatre_1676_bpt6k5448680n_f6.jpg,theatre,test,1676,True
theatre_1670_bpt6k10902574_f23.jpg,theatre,test,1670,True
theatre_1674_bpt6k12805596_f45.jpg,theatre,test,1674,True
theatre_1674_bpt6k1280415p_f21.jpg,theatre,test,1674,True
theatre_1661_btv1b86107875_f68.jpg,theatre,test,1661,True
theatre_1689_bpt6k1280408j_f4.jpg,theatre,test,1689,True
theatre_1674_bpt6k12804504_f49.jpg,theatre,test,1674,True
theatre_1631_bpt6k6295468p_f41.jpg,theatre,test,1631,True
theatre_1671_bpt6k852858m_f47.jpg,theatre,test,1671,True
theatre_1636_bpt6k1513094n_f3.jpg,theatre,test,1636,True
theatre_1639_bpt6k57544369_f24.jpg,theatre,test,1639,True
theatre_1669_bpt6k6255602h_f103.jpg,theatre,test,1669,True
theatre_1631_bpt6k5626158d_f23.jpg,theatre,test,1631,True
theatre_1654_bpt6k1280299p_f67.jpg,theatre,test,1654,True
theatre_1699_bpt6k886812s_f43.jpg,theatre,test,1699,True
theatre_1661_bpt6k1090154j_f21.jpg,theatre,test,1661,True
theatre_1632_bpt6k852952n_f7.jpg,theatre,train,1632,True
theatre_1694_bpt6k5695597h_f14.jpg,theatre,train,1694,True
theatre_1632_bpt6k1090283m_f48.jpg,theatre,train,1632,True
theatre_1689_bpt6k15189289_f43.jpg,theatre,train,1689,True
theatre_1640_bpt6k5715547n_f36.jpg,theatre,train,1640,True
theatre_1633_bpt6k1090280c_f242.jpg,theatre,train,1633,True
theatre_1694_bpt6k859427_f37.jpg,theatre,train,1694,True
theatre_1632_bpt6k8568758_f882.jpg,theatre,train,1632,True
theatre_1651_bpt6k10901193_f78.jpg,theatre,train,1651,True
theatre_1696_bpt6k9791972w_f80.jpg,theatre,train,1696,True
theatre_1618_bpt6k10902700_f101.jpg,theatre,train,1618,True
theatre_1672_bpt6k1090124d_f79.jpg,theatre,train,1672,True
theatre_1660_bpt6k6251467x_f57.jpg,theatre,train,1660,True
theatre_1683_bpt6k5628610x_f14.jpg,theatre,train,1683,True
theatre_1696_bpt6k5745654z_f15.jpg,theatre,train,1696,True
theatre_1660_bpt6k1171346_f58.jpg,theatre,train,1660,True
theatre_1663_bpt6k15193029_f79.jpg,theatre,train,1663,True
theatre_1691_bpt6k5734466w_f71.jpg,theatre,train,1691,True
theatre_1674_btv1b86107949_f20.jpg,theatre,train,1674,True
theatre_1699_bpt6k8569801_f3.jpg,theatre,train,1699,True
theatre_1656_bpt6k1090175q_f20.jpg,theatre,train,1656,True
theatre_1665_bpt6k10901178_f18.jpg,theatre,train,1665,True
theatre_1686_bpt6k1511203w_f47.jpg,theatre,train,1686,True
theatre_1681_bpt6k1090109q_f6.jpg,theatre,train,1681,True
theatre_1661_bpt6k8568033_f75.jpg,theatre,train,1661,True
theatre_1664_bpt6k1280294m_f31.jpg,theatre,train,1664,True
theatre_1604_bpt6k8568902_f27.jpg,theatre,train,1604,True
theatre_1672_bpt6k1090131j_f3.jpg,theatre,train,1672,True
theatre_1640_bpt6k6106679r_f130.jpg,theatre,train,1640,True
theatre_1663_btv1b8610784x_f57.jpg,theatre,train,1663,True
theatre_1636_bpt6k8529052_f78.jpg,theatre,train,1636,True
theatre_1666_bpt6k5544333z_f45.jpg,theatre,train,1666,True
theatre_1637_bpt6k58122453_f82.jpg,theatre,train,1637,True
theatre_1673_bpt6k1280564h_f29.jpg,theatre,train,1673,True
theatre_1661_bpt6k1090198q_f32.jpg,theatre,train,1661,True
theatre_1665_bpt6k12804467_f51.jpg,theatre,train,1665,True
theatre_1671_bpt6k6251468b_f11.jpg,theatre,train,1671,True
theatre_1691_bpt6k54487748_f1.jpg,theatre,train,1691,True
theatre_1631_bpt6k56098141_f51.jpg,theatre,train,1631,True
theatre_1652_bpt6k1280316r_f16.jpg,theatre,train,1652,True
theatre_1637_btv1b8622111v_f59.jpg,theatre,train,1637,True
theatre_1692_bpt6k1090060x_f45.jpg,theatre,train,1692,True
